date,avg temp,max temp,min temp,rainFall,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_ma7,price_ma30,price_std7,price_change,price_change_ma7
2025-02-08,-3.7,-7.2,-10.6,0.0,"16,839",71375.0,"44,885",23073,"20,576",0,"43,526","145,595","72,000","33,748",2,8,5,4,73619.66666666667,76688.0,74949.76470588235,3229.6050326110403,-0.034024008986452636,-0.008158236734094724
2025-02-07,-6.4,-9.4,-11.4,0.1,"17,282",73953.0,"50,850",23001,"18,541",0,"43,526","107,134","72,000","30,212",2,7,4,4,73072.33333333333,76204.71428571429,74894.38888888889,3366.6862399242345,0.03611908931698782,-0.005962458333851371
2025-02-06,-0.4,-4.1,-10.3,2.6,"16,639",68473.0,"40,320",23222,"18,448",0,"22,000","141,488","66,500","27,114",2,6,3,4,71267.0,74656.85714285714,74556.42105263157,4110.665981264341,-0.07410111827782506,-0.020191063904965674
2025-02-05,-4.0,-8.5,-11.3,0.0,"15,216",66406.0,"57,327",24221,"19,668",0,"41,136","124,174","68,863","23,087",2,5,2,4,69610.66666666667,72698.71428571429,74148.9,4336.902378206774,-0.030187081039241725,-0.025953546924261488
2025-02-04,-5.5,-9.2,-11.7,0.0,"17,050",63255.0,"42,054",23183,"22,186",0,"29,571","53,000","67,562","27,332",2,4,1,4,66044.66666666667,70420.85714285714,73630.14285714286,4535.947619795051,-0.04745053157847179,-0.031104136780992615
2025-02-03,-1.8,-6.3,-11.3,0.0,"17,432",67235.0,"47,657",23468,"23,452",0,"29,571","53,000","70,040","28,264",2,3,0,4,65632.0,69226.57142857143,73339.45454545454,4017.516391053266,0.06291992727847595,-0.015613050488685078
2025-02-01,7.6,1.7,-2.2,0.0,"16,800",69625.0,"44,859",22850,"21,539",0,"31,935","141,366","63,000","35,234",2,1,5,4,66705.0,68617.42857142857,73177.95652173914,3480.0801646487585,0.03554696214769093,-0.007310965876976645
2025-01-28,-2.6,-4.4,-6.3,0.2,"15,522",68000.0,"45,232","23,172","19,668",0,"20,182","141,366","72,309","25,631",1,28,1,4,68286.66666666667,68135.28571428571,72962.20833333333,3261.2761671002463,-0.02333931777378817,-0.005784581418024578
2025-01-27,1.1,-1.8,-4.2,1.5,"16,441",68000.0,"62,237","23,172","22,186",0,"33,532","141,366","72,309","30,094",1,27,0,4,68541.66666666667,67284.85714285714,72763.72,2038.1950698738544,0.0,-0.01094445132045141
2025-01-25,10.3,5.5,1.8,0.0,"15,881",73181.0,"59,505","22,262","23,452",0,"21,750","141,366","70,287","29,734",1,25,5,4,69727.0,67957.42857142857,72779.76923076923,3030.725592832264,0.07619117647058826,0.010525876500750495
2025-01-24,10.3,4.4,0.9,0.0,"15,867",72058.0,"61,572","21,930","22,888",0,"32,233","110,625","72,400","29,702",1,24,4,4,71079.66666666667,68764.85714285714,72753.03703703704,3290.287597793124,-0.015345513179650494,0.0126461004806921
2025-01-23,7.6,1.8,-2.5,0.0,"15,486",68076.0,"50,587","22,356","21,539",0,"34,286","79,937","69,703","32,567",1,23,3,4,71105.0,69453.57142857143,72586.0,2300.4224870767357,-0.05526103971800489,0.01153031360361594
2025-01-22,7.6,2.2,-2.1,0.0,"14,932",72489.0,"50,015","22,142","21,214",0,"34,286","104,359","69,138","32,261",1,22,2,4,70874.33333333333,70204.14285714286,72582.6551724138,2313.004066041486,0.06482460779129218,0.011802410819732545
2025-01-21,6.1,3.4,0.8,0.0,"14,713",77199.0,"44,528","21,970","20,746",0,"39,569","68,450","68,589","35,450",1,21,1,4,72588.0,71286.14285714286,72736.53333333334,3476.0484954697786,0.06497537557422506,0.01600646988066599
