Date,avg temp,max temp,min temp,rainFall,price
2024-07-11,24.1,27.9,21.3,3.5,4608
2024-07-10,24.2,28,21.5,46.4,4501
2024-07-09,24,26.3,22.5,33.1,4489
2024-07-08,24.8,26.5,23.5,38.3,4462
2024-07-05,25.8,29.6,22.8,3.8,4445
2024-07-04,26.7,31.5,22.1,1.1,4271
2024-07-03,25.6,29.3,22.7,9.8,4034
2024-07-02,23.8,26.2,21.7,40.3,3869
2024-07-01,25.3,30.3,21.5,1.4,3813
2024-06-28,23.9,30.6,17.2,0,3830
2024-06-27,21.8,26.5,17.3,0.9,3784
2024-06-26,22.8,29.1,16.8,0,3525
2024-06-25,22.4,27.4,18,0,3496
2024-06-24,24.1,28.9,20.3,1.2,3479
2024-06-21,24.7,30.7,18.7,0,3478
2024-06-20,24,29.1,19,0.4,3461
2024-06-19,25.9,34.3,18.4,0,3412
2024-06-18,24.6,32.5,16.5,0,3421
2024-06-17,22.6,28.4,16.7,0,3406
2024-06-14,24.9,31.6,18.1,0,3410
2024-06-13,24.8,32.3,17.8,0,3422
2024-06-12,24.3,31.7,17.8,0.2,3606
2024-06-11,24.3,30.8,18.6,0,3606
2024-06-10,23.6,30.2,17.1,0,3609
2024-06-07,21.3,27.4,14.7,0.1,3668
2024-06-05,20.4,27.3,13.6,0,3672
2024-06-04,19.5,26.1,13.2,0,3683
2024-06-03,19,25.4,12.9,0.4,3681
2024-05-31,20.5,26.2,15.7,0.3,3579
2024-05-30,19.6,25.3,14.7,0.2,3568
2024-05-29,19.4,27,11.3,0,3520
2024-05-28,18,24.1,12.2,0,3464
2024-05-27,19,23.4,15.2,0.2,3594
2024-05-24,19.6,25.9,14.3,0,3579
2024-05-23,21.5,28.7,15.2,0,3568
2024-05-22,19.7,26.8,13.2,0,3636
2024-05-21,18.7,24.6,14,0,3695
2024-05-20,18.9,25.6,12.8,0,3747
2024-05-17,17.7,25.1,9.9,0,3797
2024-05-16,14,20.2,8.1,3.6,3775
2024-05-14,17.8,25.6,9.6,0,3794
2024-05-13,16.7,24.1,9.4,0,3861
2024-05-10,17.7,25.4,10.1,0,3808
2024-05-09,15.3,22.5,7.1,0,3929
2024-05-08,13.3,19,8.3,1.3,4294
2024-05-07,13.5,16.5,11.2,6.9,4357
2024-05-03,17.2,26.2,8.6,0,4359
2024-05-02,15.1,22.9,7.6,0,4348
2024-04-30,15.7,20.7,12.2,0.2,4712
2024-04-29,15.7,18.6,13.7,13.2,4665
2024-04-26,16.6,24.4,10.3,0,4624
2024-04-25,15.6,23.5,9.3,0,4590
2024-04-24,13.1,17.3,9.9,5,4578
2024-04-23,14.5,20,10,2,4530
2024-04-22,15.7,19.8,12.5,0.1,4502
2024-04-19,17.2,25.3,8.7,0,4555
2024-04-18,15.9,23.7,8.3,0,4477
2024-04-17,14.7,22.1,8,0,4462
2024-04-16,14.9,20.3,10.6,0.6,4403
2024-04-15,15.5,19.1,12.7,17.8,4267
2024-04-12,15.9,24.1,8.4,0,4246
2024-04-11,14.2,20.3,9.6,0,4248
2024-04-09,12.6,18.4,7.2,0,4427
2024-04-08,15.6,22.6,8.6,0,4347
2024-04-05,12.5,18.1,8.1,0,4318
2024-04-04,12.4,15.9,9.8,0.5,4244
2024-04-03,12.8,14.6,11.1,22.2,4126
2024-04-02,13.9,22.2,5.5,5.5,4046
2024-04-01,12.1,20.7,3.8,0,4073
2024-03-29,9.9,15.4,4.6,0.2,3973
2024-03-28,9.5,11.3,7.9,23.2,3941
2024-03-27,9,15.7,2.1,0,3851
2024-03-26,6.8,10.7,3.6,17.2,3785
2024-03-25,9.5,12.6,6.8,9.9,3798
2024-03-22,9.4,15.7,1,3.7,3611
2024-03-21,4.4,11.1,-2.2,0,3462
2024-03-20,4.5,8.9,0.7,0.6,3400
2024-03-19,7.5,12.8,3.8,1.1,3400
2024-03-18,7.4,14.2,0,0,3364
2024-03-15,9.3,17.6,1.1,0,3348
2024-03-14,7.6,15.5,0.5,0,3311
2024-03-13,6.1,13.1,-0.7,0,3470
2024-03-12,5.1,10.3,0.9,0.8,3572
2024-03-11,5.9,11.8,-0.4,0.4,3628
2024-03-08,3.1,8.2,-1.3,0,3851
2024-03-07,4,8,0.6,0.3,3933
2024-03-06,6.2,10.5,2.7,0.2,3859
2024-03-05,6.1,8.4,4.4,4.3,3917
2024-03-04,6.2,12.2,-0.2,0.2,3984
2024-02-29,4.3,7.2,1.3,2.7,4082
2024-02-28,5,10.9,-0.6,0,3845
2024-02-27,3.9,8.6,-0.4,0,3828
2024-02-26,3.6,8.9,-0.8,0,3786
2024-02-23,2.3,4.9,0.4,0.9,3770
2024-02-22,2,3.4,1,5,3733
2024-02-21,4.1,5.5,2.6,15.6,3663
2024-02-20,5.8,8.8,4,6.5,3657
2024-02-19,11.2,15.7,7,20.5,3615
2024-02-16,2.4,8.3,-2.2,0,3520
2024-02-15,6,13.3,0.8,4.5,3397
2024-02-14,11.4,17.2,6.6,2.2,3361
2024-02-13,8,15.7,0,0,3315
2024-02-08,0.6,6.6,-4.1,0,3028
2024-02-07,1,5,-2.2,0,3008
2024-02-06,2.2,4.5,0.4,0.4,3004
2024-02-05,3.8,6,1.7,12.7,3015
2024-02-02,3.2,7.7,0.2,0.3,3011
2024-02-01,3.9,7.5,1.2,1.2,3037
2024-01-31,5.6,12.6,0.4,0.5,3204
2024-01-30,0.9,8.7,-5.9,0.1,3218
2024-01-29,-0.7,5.8,-5.7,0,3272
2024-01-26,-1,5.2,-6.8,0,3409
2024-01-23,-8.1,-4.9,-10.4,0.7,2962
2024-01-22,-4.2,2,-8.2,0.3,2935
2024-01-19,5.5,7.4,4.3,0.5,2898
2024-01-18,6,9.2,3.5,5.7,2841
2024-01-17,2.8,6.2,-2.6,4.2,2731
2024-01-16,-1,6,-6.9,0,2729
2024-01-15,-0.4,4.3,-4.1,0,2726
2024-01-12,3.2,8.3,-1.5,0,2729
2024-01-09,0.2,3.7,-4.4,2.4,3038
2024-01-08,-3.4,2.7,-8.9,0,3060
2024-01-05,4.8,10.3,-0.6,0,3089
2024-01-04,1.5,7,-3.5,0,3204
2024-01-03,2.7,6,0,1,3396
2024-01-02,4.2,7.4,1.4,0,3356
2023-12-29,1.4,7.6,-3.2,0,3312
2023-12-28,1.7,8.1,-3,0,3324
2023-12-27,1.9,8.7,-2.3,0,3076
2023-12-26,1.7,7.5,-3,0,3081
2023-12-22,-8.2,-4.1,-11.8,0.2,3014
2023-12-21,-8.1,-4.6,-10.7,0.7,2931
2023-12-20,-3.7,0.2,-8.1,0.9,2861
2023-12-19,-1.3,2.7,-5.5,0.1,2827
2023-12-18,-4.8,-1.1,-9.5,0,2822
2023-12-15,8.2,11.7,5.5,30.9,2830
2023-12-14,8.8,10.4,7,23.4,2965
2023-12-13,7.6,12.5,2.8,0,3055
2023-12-12,7.2,10.4,4.7,1.5,3074
2023-12-11,11,13,8.6,31.5,3094
2023-12-08,10.2,17.6,1.9,0,3099
2023-12-07,6.5,11.6,1.2,0,3104
2023-12-06,6.2,11.9,-0.3,2.5,2982
2023-12-05,4.5,12.8,-1.1,0,2986
2023-12-04,2.5,10.2,-4,0,2927
2023-11-30,-1.2,2.5,-4.2,0,2797
2023-11-29,2.7,6.8,-1.3,0.2,2591
2023-11-28,4.2,8,0.2,0,2580
2023-11-24,2.1,6.8,-1.8,0,2648
2023-11-23,12.1,17.9,6,0.1,2578
2023-11-22,9,16.8,1.3,0,2650
2023-11-21,6.5,15.8,-0.4,0,2595
2023-11-20,6.3,13.6,1,0,2602
2023-11-17,4,8.4,0.1,3.2,2678
2023-11-16,5.9,8.9,2.6,9.2,2580
2023-11-15,6.4,13.6,1,0,2714
2023-11-14,5.5,11.8,-0.1,0,2736
2023-11-13,3.3,9.1,-1.6,0,2771
2023-11-10,8,13.7,2.3,2.8,2706
2023-11-09,12.7,19.5,5,5,2845
2023-11-08,8.4,17.1,1.4,0,3448
2023-11-07,8.9,13.4,4,0.2,3466
2023-11-06,16,21.4,10,25.8,3517
2023-11-03,18.1,24.3,12.2,1.6,3611
2023-11-02,18.4,25.9,13.3,0,3604
2023-11-01,16.5,22.4,10.1,0,4704
2023-10-31,14,22.2,7.9,0,4751
2023-10-30,13.3,21.5,7.4,0,4959
2023-10-27,13.8,18.8,9.5,0.9,5019
2023-10-26,15.9,22.2,10.6,2.4,5265
2023-10-25,14.9,22.5,9.5,0,5647
2023-10-24,13.6,20.5,8.2,0,5754
2023-10-23,13.3,20.8,7.9,0,5881
2023-10-20,12.6,16.7,8.3,1.7,5863
2023-10-19,15.7,20.3,11.2,5.4,6225
2023-10-18,14.3,22.8,6.7,0,6436
2023-10-17,12.9,20.9,6.7,0,6587
2023-10-16,14.7,20.6,9.4,0,6715
2023-10-13,16.3,22.2,11.9,0,6726
2023-10-12,15.6,23.1,9.5,0,6739
2023-10-11,15.7,23,10.4,0,6905
2023-10-10,16.2,22.3,11.8,0.1,6826
2023-10-06,14.6,21.1,9,0,6861
2023-10-05,15,19.8,10.8,0,6987
2023-10-04,17.5,23.8,11.8,1.8,7074
2023-09-27,21.9,24.9,20,2.6,6125
2023-09-26,20.9,22.6,19.4,16.9,6153
2023-09-25,21.1,25.8,17.5,2,6224
2023-09-23,19.6,25.3,14.7,0.2,6230
2023-09-22,19.4,25.2,15.3,0,6309
2023-09-21,19.5,22.9,17,5.7,6119
2023-09-20,21.5,24,19.4,53.4,5519
2023-09-19,23.4,28.1,19.9,0,5521
2023-09-18,24.4,29.4,21.1,3,5528
2023-09-15,22.4,24.7,20.8,16.6,5409
2023-09-14,22.1,24.9,19.9,11,5447
2023-09-13,22.2,25,20.2,22,5587
