, 3.3평당 가격 , 월 예상소득 , 시간당 매출 , 연간 매출액 , 총 경영비 , 수도광열비 , 기타재료비 , 소농구비 , 대농구상각비 , 영농시설상각비 , 수리유지비 , 기타비용 , 농기계-시설임차료 , 토지임차료 , 위탁영농비 , 고용노동비 , 종자&종묘비 , 보통비료비 , 부산물비료비 , 농약비 
 감자 ,16153,65049,60028,1615298,834725,45073,177834,1503,45488,104286,799,981,9273,32791,18040,117085,160415,50323,57223,13611
 고구마 ,12666,55242,44500,1266574,603672,16031,66121,1503,57864,33976,3694,3337,5280,58030,7553,177098,122067,21207,19774,10137
 당근 ,13304,51871,44175,1330337,707890,19028,69076,208,61033,40413,10710,1095,3635,63708,30505,214234,75144,37743,49995,31363
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
