date,avg temp,max temp,min temp,rainFall,cabbage,potato,strawberry,onion,spinach,cucumber,tomato,apple,carrot,broccoli,month,day,dayofweek,season,price_ma3,price_ma7,price_ma30,price_std7,price_change,price_change_ma7
2025-02-17,3.3,-1.1,-5.0,0.0,"16,460","77,336","49,952",25075,"23,609",0,"54,395",127932.0,"63,441","29,028",2,17,0,4,127288.33333333333,122432.57142857143,121575.09090909091,21481.391092890473,0.10755964954808328,0.04241296240912989
2025-02-15,7.7,4.3,1.1,0.0,"16,433","79,308","48,952",24766,"24,645",0,"46,809",146179.0,"63,000","33,068",2,15,5,4,129873.0,124350.0,123625.41666666667,23094.964451152548,0.14263045993183887,0.04537541366969395
2025-02-14,9.7,4.3,-0.5,0.0,"16,990","80,113","57,886",24928,"25,916",0,"46,809",105414.0,"70,000","31,457",2,14,4,4,126508.33333333333,117905.42857142857,122224.53846153847,20748.196354198622,-0.27887042598458056,-0.013584082835128448
2025-02-13,5.8,1.5,-3.9,0.0,"17,780","79,200","44,767",24489,"21,357",0,"42,442",114527.0,"75,679","34,476",2,13,3,4,122040.0,121735.28571428571,121674.71428571429,16229.521493400904,0.0864496176978391,0.05837397961026298
2025-02-11,6.7,2.3,-4.2,1.0,"17,185","75,595","53,269",25203,"20,603",0,"42,442",140445.0,"74,784","33,521",2,11,1,4,120128.66666666667,126918.57142857143,122926.06666666667,15457.210236187966,0.22630471417220388,0.06392259956732893
2025-02-10,2.5,-2.0,-5.6,0.0,"16,971","73,889","49,858",24455,"20,295",0,"42,442",140250.0,"75,339","33,666",2,10,0,4,131740.66666666666,127179.28571428571,124008.8125,15697.162033462026,-0.001388443874826395,0.016732888086463036
2025-02-08,-3.7,-7.2,-10.6,0.0,"16,839","71,375","44,885",23073,"20,576",0,"43,526",145595.0,"72,000","33,748",2,8,5,4,142096.66666666666,131477.42857142858,125278.58823529411,16083.152539817778,0.03811051693404632,0.04582801263208636
2025-02-07,-6.4,-9.4,-11.4,0.1,"17,282","73,953","50,850",23001,"18,541",0,"43,526",107134.0,"72,000","30,212",2,7,4,4,130993.0,128506.28571428571,124270.55555555556,18575.276558858954,-0.26416429135615926,-0.00727540749709115
2025-02-06,-0.4,-4.1,-10.3,2.6,"16,639","68,473","40,320",23222,"18,448",0,"22,000",141488.0,"66,500","27,114",2,6,3,4,131405.66666666666,127836.14285714286,125176.73684210527,17903.918709122227,0.3206638415442342,0.01815793273325104
2025-02-05,-4.0,-8.5,-11.3,0.0,"15,216","66,406","57,327",24221,"19,668",0,"41,136",124174.0,"68,863","23,087",2,5,2,4,124265.33333333333,130516.14285714286,125126.6,15185.979448475606,-0.1223708017641072,0.04051502190760438
2025-02-04,-5.5,-9.2,-11.7,0.0,"17,050","63,255","42,054",23183,"22,186",0,"29,571",53000.0,"67,562","27,332",2,4,1,4,106220.66666666667,121726.57142857143,121692.0,33156.164795590885,-0.5731795706025415,-0.05371771927816428
2025-02-03,-1.8,-6.3,-11.3,0.0,"17,432","67,235","47,657",23468,"23,452",0,"29,571",53000.0,"70,040","28,264",2,3,0,4,76724.66666666667,109234.42857142857,118569.63636363637,40572.104956719304,0.0,-0.08604696415990769
2025-02-01,7.6,1.7,-2.2,0.0,"16,800","69,625","44,859",22850,"21,539",0,"31,935",141366.0,"63,000","35,234",2,1,5,4,82455.33333333333,109393.85714285714,119560.78260869565,40716.230369180674,1.6672830188679244,0.152334673374771
2025-01-28,-2.6,-4.4,-6.3,0.2,"15,522","68,000","45,232","23,172","19,668",0,"20,182",141366.0,"72,309","25,631",1,28,1,4,111910.66666666667,108789.71428571429,120469.33333333333,40116.51519309841,0.0,0.14689031381276438
2025-01-27,1.1,-1.8,-4.2,1.5,"16,441","68,000","62,237","23,172","22,186",0,"33,532",141366.0,"72,309","30,094",1,27,0,4,141366.0,113680.0,121305.2,41926.677044573895,0.0,0.18462806972078713
2025-01-25,10.3,5.5,1.8,0.0,"15,881","73,181","59,505","22,262","23,452",0,"21,750",141366.0,"70,287","29,734",1,25,5,4,141366.0,113662.57142857143,122076.76923076923,41913.214093159775,0.0,0.13881894950018223
2025-01-24,10.3,4.4,0.9,0.0,"15,867","72,058","61,572","21,930","22,888",0,"32,233",110625.0,"72,400","29,702",1,24,4,4,131119.0,111727.0,121652.62962962964,41658.96611375114,-0.21745681422690044,0.12523523343406892
2025-01-23,7.6,1.8,-2.5,0.0,"15,486","68,076","50,587","22,356","21,539",0,"34,286",79937.0,"69,703","32,567",1,23,3,4,110642.66666666667,115575.14285714286,120162.78571428571,36219.0163975987,-0.27740564971751414,0.16748865070335855
2025-01-22,7.6,2.2,-2.1,0.0,"14,932","72,489","50,015","22,142","21,214",0,"34,286",104359.0,"69,138","32,261",1,22,2,4,98307.0,122912.14285714286,119617.8275862069,24846.98260304842,0.30551559352990476,0.21113373549334494
2025-01-21,6.1,3.4,0.8,0.0,"14,713","77,199","44,528","21,970","20,746",0,"39,569",68450.0,"68,589","35,450",1,21,1,4,84248.66666666667,112495.57142857143,117912.23333333334,30469.330770777484,-0.3440910702478943,-0.07620542009462916
